,RSI,intervals,symbol
78,30.0,Client.KLINE_INTERVAL_2HOUR,XLMBTC
79,30.0,Client.KLINE_INTERVAL_2HOUR,CNDBTC
80,30.0,Client.KLINE_INTERVAL_2HOUR,LENDBTC
81,30.0,Client.KLINE_INTERVAL_2HOUR,WABIBTC
82,30.0,Client.KLINE_INTERVAL_2HOUR,TNBBTC
83,30.0,Client.KLINE_INTERVAL_2HOUR,WAVESBTC
84,30.0,Client.KLINE_INTERVAL_2HOUR,GTOBTC
85,30.0,Client.KLINE_INTERVAL_2HOUR,ICXBTC
86,30.0,Client.KLINE_INTERVAL_2HOUR,OSTBTC
87,30.0,Client.KLINE_INTERVAL_2HOUR,ELFBTC
88,30.0,Client.KLINE_INTERVAL_2HOUR,AIONBTC
89,30.0,Client.KLINE_INTERVAL_2HOUR,NEBLBTC
90,30.0,Client.KLINE_INTERVAL_2HOUR,BRDBTC
91,30.0,Client.KLINE_INTERVAL_2HOUR,EDOBTC
92,30.0,Client.KLINE_INTERVAL_2HOUR,WINGSBTC
93,30.0,Client.KLINE_INTERVAL_2HOUR,NAVBTC
94,30.0,Client.KLINE_INTERVAL_2HOUR,LUNBTC
95,30.0,Client.KLINE_INTERVAL_2HOUR,TRIGBTC
96,30.0,Client.KLINE_INTERVAL_2HOUR,APPCBTC
97,30.0,Client.KLINE_INTERVAL_2HOUR,VIBEBTC
98,30.0,Client.KLINE_INTERVAL_2HOUR,RLCBTC
99,30.0,Client.KLINE_INTERVAL_2HOUR,INSBTC
100,30.0,Client.KLINE_INTERVAL_2HOUR,PIVXBTC
101,30.0,Client.KLINE_INTERVAL_2HOUR,IOSTBTC
102,30.0,Client.KLINE_INTERVAL_2HOUR,CHATBTC
103,30.0,Client.KLINE_INTERVAL_2HOUR,STEEMBTC
104,30.0,Client.KLINE_INTERVAL_2HOUR,NANOBTC
105,30.0,Client.KLINE_INTERVAL_2HOUR,VIABTC
106,30.0,Client.KLINE_INTERVAL_2HOUR,BLZBTC
107,30.0,Client.KLINE_INTERVAL_2HOUR,AEBTC
108,30.0,Client.KLINE_INTERVAL_2HOUR,RPXBTC
109,30.0,Client.KLINE_INTERVAL_2HOUR,NCASHBTC
110,30.0,Client.KLINE_INTERVAL_2HOUR,POABTC
111,30.0,Client.KLINE_INTERVAL_2HOUR,ZILBTC
112,30.0,Client.KLINE_INTERVAL_2HOUR,ONTBTC
113,30.0,Client.KLINE_INTERVAL_2HOUR,STORMBTC
114,30.0,Client.KLINE_INTERVAL_2HOUR,XEMBTC
115,30.0,Client.KLINE_INTERVAL_2HOUR,WANBTC
116,30.0,Client.KLINE_INTERVAL_2HOUR,WPRBTC
117,30.0,Client.KLINE_INTERVAL_2HOUR,QLCBTC
118,30.0,Client.KLINE_INTERVAL_2HOUR,SYSBTC
119,30.0,Client.KLINE_INTERVAL_2HOUR,GRSBTC
120,30.0,Client.KLINE_INTERVAL_2HOUR,CLOAKBTC
121,30.0,Client.KLINE_INTERVAL_2HOUR,GNTBTC
122,30.0,Client.KLINE_INTERVAL_2HOUR,LOOMBTC
123,30.0,Client.KLINE_INTERVAL_2HOUR,BCNBTC
124,30.0,Client.KLINE_INTERVAL_2HOUR,REPBTC
125,30.0,Client.KLINE_INTERVAL_2HOUR,TUSDBTC
126,30.0,Client.KLINE_INTERVAL_2HOUR,ZENBTC
127,30.0,Client.KLINE_INTERVAL_2HOUR,SKYBTC
128,30.0,Client.KLINE_INTERVAL_2HOUR,CVCBTC
129,30.0,Client.KLINE_INTERVAL_2HOUR,THETABTC
130,30.0,Client.KLINE_INTERVAL_2HOUR,IOTXBTC
131,30.0,Client.KLINE_INTERVAL_2HOUR,QKCBTC
132,30.0,Client.KLINE_INTERVAL_2HOUR,AGIBTC
133,30.0,Client.KLINE_INTERVAL_2HOUR,NXSBTC
134,30.0,Client.KLINE_INTERVAL_2HOUR,DATABTC
135,30.0,Client.KLINE_INTERVAL_2HOUR,SCBTC
136,30.0,Client.KLINE_INTERVAL_2HOUR,NPXSBTC
137,30.0,Client.KLINE_INTERVAL_2HOUR,KEYBTC
138,30.0,Client.KLINE_INTERVAL_2HOUR,NASBTC
139,30.0,Client.KLINE_INTERVAL_2HOUR,MFTBTC
140,30.0,Client.KLINE_INTERVAL_2HOUR,DENTBTC
141,30.0,Client.KLINE_INTERVAL_2HOUR,ARDRBTC
142,30.0,Client.KLINE_INTERVAL_2HOUR,HOTBTC
143,30.0,Client.KLINE_INTERVAL_2HOUR,VETBTC
144,30.0,Client.KLINE_INTERVAL_2HOUR,DOCKBTC
145,30.0,Client.KLINE_INTERVAL_2HOUR,POLYBTC
146,30.0,Client.KLINE_INTERVAL_2HOUR,PHXBTC
147,30.0,Client.KLINE_INTERVAL_2HOUR,HCBTC
148,30.0,Client.KLINE_INTERVAL_2HOUR,GOBTC
149,30.0,Client.KLINE_INTERVAL_2HOUR,PAXBTC
150,30.0,Client.KLINE_INTERVAL_2HOUR,RVNBTC
151,30.0,Client.KLINE_INTERVAL_2HOUR,DCRBTC
